# 网络用语与聊天短语候选表（起草，待维护者审）。2026-09-22，收词标准、次数档位与接入命令见同目录 README.md。
# 来源：起草者自身的中文互联网知识，没有抄任何外部词表，无许可约束；每条都对着 dict.tsv / lm-unigram.tsv / phrases.tsv / common_words.tsv / domain_words.tsv 标了现状。
# 建议次数与 dict.tsv 词频同一尺度。汉字词三档：低 20、中 200、高 2000；中英混杂另按 mixed_words.tsv 的尺度：低 300、中 2000、高 8000。
# gaps 合成次数高于档位值时取合成次数（与 common_words.tsv 的做法一致）。词库现状为「已有」的默认不进（supplement 会跳过已有词），保留在表里供比对。
词	拼音	类别	说明	建议次数	词库现状
dddd	d d d d	mixed	懂的都懂	300	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
awsl	a w s l	mixed	被萌到不行	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
emo	e m o	mixed	情绪低落	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
PUA	p u a	mixed	精神打压操控，贬义	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
CPU	c p u	mixed	被反复洗脑说服，贬义	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
CP	c p	mixed	配成一对的情侣	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
CPDD	c p d d	mixed	想找人处对象	300	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
OMG	o m g	mixed	惊讶的感叹	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
GG	g g	mixed	完蛋了结束了	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
ojbk	o j b k	mixed	还行没问题	300	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
xdm	x d m	mixed	兄弟们	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
yygq	y y g q	mixed	阴阳怪气	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
栓Q	shuan q	mixed	谢谢你，带无奈	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
芭比Q了	ba bi q le	mixed	完蛋了	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
cue	c u e	mixed	点名提到某人	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
diss	d i s s	mixed	公开贬低攻击	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
battle	b a t t l e	mixed	正面对决比拼	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
solo	s o l o	mixed	单挑或单人表演	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
crush	c r u s h	mixed	让人心动的对象	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
flag	f l a g	mixed	立下的话常常翻车	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
get	g e t	mixed	学会或理解到	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
BGM	b g m	mixed	背景音乐	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
NPC	n p c	mixed	没主见像工具的人	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
MBTI	m b t i	mixed	性格测试类型	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
i人	i ren	mixed	内向不爱社交的人	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
e人	e ren	mixed	外向爱社交的人	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
p图	p tu	mixed	修图	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
K歌	k ge	mixed	唱卡拉OK	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
KPI	k p i	mixed	考核指标	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
BE	b e	mixed	结局是悲剧	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
rua	r u a	mixed	揉捏可爱的东西	300	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
pick	p i c k	mixed	选择并支持某人	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
carry	c a r r y	mixed	带队取胜	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
hold住	h o l d zhu	mixed	撑得住场面	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
low	l o w	mixed	档次低，贬义	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
nice	n i c e	mixed	好棒	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
cos	c o s	mixed	角色扮演	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
vlog	v l o g	mixed	记录生活的视频	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
打call	da c a l l	mixed	应援支持	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
PK	p k	mixed	一对一对决	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
AA制	a a zhi	mixed	各付各的钱	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
摸会鱼	mo hui yu	chat	上班偷懒时说	2000	缺（成分拆不出，无合成次数）
摸会儿鱼	mo hui er yu	chat	上班偷懒时说	2000	缺（成分拆不出，无合成次数）
摸会儿	mo hui er	chat	想偷个懒时说	200	缺（成分拆不出，无合成次数）
歇会儿	xie hui er	chat	干累了想停一下	2000	缺（成分拆不出，无合成次数）
歇会	xie hui	chat	干累了想停一下	2000	缺（合成 519）
歇会儿脚	xie hui er jiao	chat	走累了想坐下	20	缺（成分拆不出，无合成次数）
等会儿	deng hui er	chat	让对方稍后再说	2000	缺（合成 9）
等会	deng hui	chat	让对方稍后再说	-	已有（词库 3427，模型 3645，来自短语层）
等会儿说	deng hui er shuo	chat	现在没空聊	200	缺（成分拆不出，无合成次数）
等会说	deng hui shuo	chat	现在没空聊	200	缺（合成 24）
等会儿再说	deng hui er zai shuo	chat	推迟话题	2000	缺（成分拆不出，无合成次数）
聊会儿	liao hui er	chat	约人说说话	200	缺（成分拆不出，无合成次数）
聊会天	liao hui tian	chat	约人说说话	200	缺（成分拆不出，无合成次数）
聊会儿天	liao hui er tian	chat	约人说说话	200	缺（成分拆不出，无合成次数）
睡会儿	shui hui er	chat	想小睡一下	2000	缺（合成 5）
睡会	shui hui	chat	想小睡一下	-	已有（词库 2087，模型 2092，来自短语层）
睡会儿觉	shui hui er jiao	chat	想小睡一下	200	缺（成分拆不出，无合成次数）
玩会儿	wan hui er	chat	放松一小段时间	200	缺（成分拆不出，无合成次数）
玩会	wan hui	chat	放松一小段时间	1135	缺（合成 1135）
玩会儿手机	wan hui er shou ji	chat	刷手机放松	200	缺（成分拆不出，无合成次数）
看会儿	kan hui er	chat	看一小段时间	200	缺（成分拆不出，无合成次数）
看会	kan hui	chat	看一小段时间	1105	缺（合成 1105）
看会儿书	kan hui er shu	chat	读一小段书	200	缺（成分拆不出，无合成次数）
看会书	kan hui shu	chat	读一小段书	20	缺（成分拆不出，无合成次数）
看会儿电视	kan hui er dian shi	chat	看一小段电视	200	缺（成分拆不出，无合成次数）
忙会儿	mang hui er	chat	还要忙一小段	20	缺（成分拆不出，无合成次数）
忙会	mang hui	chat	还要忙一小段	27	缺（合成 27）
待会儿	dai hui er	chat	表示过一小段时间	-	已有（词库 680，模型 684）
待会	dai hui	chat	表示过一小段时间	-	已有（词库 1761，模型 1779，来自补充常用词）
待会儿聊	dai hui er liao	chat	稍后再继续说	200	缺（成分拆不出，无合成次数）
缓会儿	huan hui er	chat	累了想喘口气	200	缺（成分拆不出，无合成次数）
缓会	huan hui	chat	累了想喘口气	20	缺（成分拆不出，无合成次数）
躺会儿	tang hui er	chat	想躺下休息	200	缺（成分拆不出，无合成次数）
躺会	tang hui	chat	想躺下休息	200	缺（合成 155）
坐会儿	zuo hui er	chat	请人坐下待一会	200	缺（成分拆不出，无合成次数）
坐会	zuo hui	chat	请人坐下待一会	207	缺（合成 207）
刷会儿	shua hui er	chat	刷手机或视频	200	缺（成分拆不出，无合成次数）
刷会手机	shua hui shou ji	chat	刷手机放松	200	缺（成分拆不出，无合成次数）
刷会儿手机	shua hui er shou ji	chat	刷手机放松	200	缺（成分拆不出，无合成次数）
打会儿游戏	da hui er you xi	chat	玩一小段游戏	200	缺（成分拆不出，无合成次数）
打会游戏	da hui you xi	chat	玩一小段游戏	200	缺（成分拆不出，无合成次数）
眯会儿	mi hui er	chat	小睡一下	200	缺（成分拆不出，无合成次数）
眯会	mi hui	chat	小睡一下	20	缺（成分拆不出，无合成次数）
溜达会儿	liu da hui er	chat	出去走走	20	缺（成分拆不出，无合成次数）
休息会儿	xiu xi hui er	chat	停下来歇歇	200	缺（成分拆不出，无合成次数）
听会儿歌	ting hui er ge	chat	听一小段歌	20	缺（成分拆不出，无合成次数）
走会儿	zou hui er	chat	走一小段路	20	缺（成分拆不出，无合成次数）
逛会儿	guang hui er	chat	逛一小段时间	20	缺（成分拆不出，无合成次数）
发会儿呆	fa hui er dai	chat	放空一小段时间	200	缺（成分拆不出，无合成次数）
发会呆	fa hui dai	chat	放空一小段时间	200	缺（成分拆不出，无合成次数）
学会儿	xue hui er	chat	学一小段时间	20	缺（成分拆不出，无合成次数）
等一下	deng yi xia	chat	让对方稍等	-	已有（词库 60，模型 1162，来自领域词）
等一下下	deng yi xia xia	chat	撒娇式让人稍等	20	缺（合成 13）
等我一下	deng wo yi xia	chat	让对方等自己	2000	缺（合成 28）
看一下	kan yi xia	chat	请对方帮忙看	-	已有（词库 3623，模型 3673，来自短语层）
问一下	wen yi xia	chat	开口打听事情	-	已有（词库 4812，模型 4824，来自短语层）
试一下	shi yi xia	chat	提议先试试	-	已有（词库 1878，模型 1893，来自补充常用词）
缓一下	huan yi xia	chat	请对方给点时间	200	缺（合成 59）
歇一下	xie yi xia	chat	提议停下休息	200	缺（合成 44）
说一下	shuo yi xia	chat	请对方讲讲	-	已有（词库 2168，模型 2184，来自短语层）
想一下	xiang yi xia	chat	需要一点时间考虑	592	缺（合成 592）
查一下	cha yi xia	chat	去查资料或记录	687	缺（合成 687）
改一下	gai yi xia	chat	请对方做小修改	340	缺（合成 340）
弄一下	nong yi xia	chat	请对方处理一下	200	缺（合成 145）
帮一下	bang yi xia	chat	请人搭把手	200	缺（合成 40）
换一下	huan yi xia	chat	请对方换个东西	576	缺（合成 576）
麻烦一下	ma fan yi xia	chat	打扰别人前的客气话	2000	缺（合成 16）
打扰一下	da rao yi xia	chat	打断别人前的客气话	200	缺（合成 176）
确认一下	que ren yi xia	chat	再核对一遍	227	缺（合成 227）
休息一下	xiu xi yi xia	chat	提议停下来歇歇	2000	缺（合成 1752）
放松一下	fang song yi xia	chat	劝人别太紧张	982	缺（合成 982）
吃个饭	chi ge fan	chat	约人吃饭	-	已有（词库 46，模型 25，来自短语层）
喝口水	he kou shui	chat	让人先喝点水	2000	缺（合成 255）
喝杯咖啡	he bei ka fei	chat	约人喝咖啡	247	缺（合成 247）
喝个咖啡	he ge ka fei	chat	约人喝咖啡	200	缺（成分拆不出，无合成次数）
喝一杯	he yi bei	chat	约人小酌	-	已有（词库 1144，模型 1206，来自补充常用词）
睡个觉	shui ge jiao	chat	去睡一觉	2000	缺（成分拆不出，无合成次数）
洗个澡	xi ge zao	chat	去洗澡	2000	缺（合成 979）
洗个头	xi ge tou	chat	去洗头	200	缺（成分拆不出，无合成次数）
遛个弯	liu ge wan	chat	出门散步	200	缺（成分拆不出，无合成次数）
走一趟	zou yi tang	chat	跑一次某地	244	缺（合成 244）
跑一趟	pao yi tang	chat	专门去一次	232	缺（合成 232）
去一趟	qu yi tang	chat	去一次某地	911	缺（合成 911）
搭把手	da ba shou	chat	请人帮个小忙	200	缺（合成 51）
帮个忙	bang ge mang	chat	请人帮忙	2000	缺（成分拆不出，无合成次数）
发个消息	fa ge xiao xi	chat	用聊天软件联系	200	缺（成分拆不出，无合成次数）
打个电话	da ge dian hua	chat	用电话联系	2000	缺（合成 12）
点个外卖	dian ge wai mai	chat	叫外卖吃饭	2000	缺（成分拆不出，无合成次数）
发个红包	fa ge hong bao	chat	群里发红包	200	缺（成分拆不出，无合成次数）
拍个照	pai ge zhao	chat	拍张照片	200	缺（成分拆不出，无合成次数）
理个发	li ge fa	chat	去剪头发	200	缺（成分拆不出，无合成次数）
吃个宵夜	chi ge xiao ye	chat	晚上加一餐	200	缺（成分拆不出，无合成次数）
歇口气	xie kou qi	chat	累了停一下	200	缺（成分拆不出，无合成次数）
喘口气	chuan kou qi	chat	忙完后放松	200	缺（合成 138）
吃口饭	chi kou fan	chat	简单吃一点	200	缺（合成 44）
碰个面	peng ge mian	chat	约人见面	200	缺（成分拆不出，无合成次数）
见个面	jian ge mian	chat	约人见面	200	缺（合成 1）
约个饭	yue ge fan	chat	约人一起吃饭	200	缺（合成 6）
聚个餐	ju ge can	chat	约大家聚会吃饭	200	缺（成分拆不出，无合成次数）
开个会	kai ge hui	work	提议开一个会	2000	缺（合成 7）
请个假	qing ge jia	chat	跟公司请假	200	缺（成分拆不出，无合成次数）
打个车	da ge che	chat	叫车出行	200	缺（合成 5）
买个菜	mai ge cai	chat	去买菜	200	缺（合成 7）
做个饭	zuo ge fan	chat	自己在家做饭	200	缺（合成 28）
取个快递	qu ge kuai di	chat	下楼拿快递	200	缺（成分拆不出，无合成次数）
充个电	chong ge dian	chat	给设备充电	200	缺（成分拆不出，无合成次数）
换个地方	huan ge di fang	chat	提议挪个地点	200	缺（合成 38）
行吧	xing ba	chat	勉强同意	-	已有（词库 6315，模型 6322，来自短语层）
好嘞	hao lei	chat	爽快答应	-	已有（词库 6658，模型 6666）
好的呀	hao de ya	chat	语气轻松地答应	-	已有（词库 616，模型 285，来自短语层）
好哒	hao da	chat	可爱地答应	-	已有（词库 9602，模型 9602，来自短语层）
收到	shou dao	chat	表示已看到并照办	-	已有（词库 24772，模型 39644）
得嘞	dei lei	chat	利落地答应	512	缺（合成 512）
没事儿	mei shi er	chat	对方道歉时回应	-	已有（词库 5354，模型 5361，来自短语层）
没事的	mei shi de	chat	安慰对方	-	已有（词库 4984，模型 5017，来自短语层）
不用谢	bu yong xie	chat	回应别人道谢	-	已有（词库 2961，模型 2964，来自短语层）
客气了	ke qi le	chat	回应别人道谢	-	已有（词库 2724，模型 2735，来自短语层）
别客气	bie ke qi	chat	回应别人道谢	-	已有（词库 998，模型 1000，来自补充常用词）
太客气了	tai ke qi le	chat	收到礼物或帮助时说	200	缺（合成 81）
不客气	bu ke qi	chat	回应别人道谢	-	已有（词库 12222，模型 12313，来自短语层）
辛苦了	xin ku le	chat	感谢对方付出	-	已有（词库 13511，模型 13580，来自短语层）
辛苦啦	xin ku la	chat	轻松地感谢对方	-	已有（词库 3530，模型 3530，来自短语层）
麻烦了	ma fan le	chat	请人帮忙后说	2000	缺（合成 1855）
麻烦你了	ma fan ni le	chat	请人帮忙后说	2000	缺（合成 36）
麻烦您了	ma fan nin le	chat	对长辈或客户说	200	缺（合成 5）
不好意思	bu hao yi si	chat	轻度道歉	-	已有（词库 24750，模型 24967）
真不好意思	zhen bu hao yi si	chat	比较郑重地道歉	424	缺（合成 424）
我看看	wo kan kan	chat	答应去查看	-	已有（词库 5227，来自短语层）
我想想	wo xiang xiang	chat	需要时间考虑	2263	缺（合成 2263）
我试试	wo shi shi	chat	答应尝试	814	缺（合成 814）
稍等	shao deng	chat	让对方等一下	-	已有（词库 524，模型 556）
稍等一下	shao deng yi xia	chat	让对方等一下	2000	缺（合成 38）
马上来	ma shang lai	chat	表示很快到	2000	缺（合成 544）
马上到	ma shang dao	chat	表示很快到	2000	缺（合成 910）
这就来	zhe jiu lai	chat	立刻动身	2000	缺（合成 79）
这就去	zhe jiu qu	chat	立刻动身	200	缺（合成 183）
明白了	ming bai le	chat	表示听懂	-	已有（词库 5022，模型 5410，来自短语层）
懂了	dong le	chat	表示听懂	-	已有（词库 7906，模型 8010，来自短语层）
知道了	zhi dao le	chat	表示已知	-	已有（词库 23084，模型 24250，来自短语层）
了解	liao jie	chat	表示明白了	-	已有（词库 31302，模型 52433）
都行	dou xing	chat	表示无所谓	-	已有（词库 4940，模型 5024，来自短语层）
都可以	dou ke yi	chat	表示无所谓	-	已有（词库 19367，模型 28147，来自短语层）
随便吧	sui bian ba	chat	让对方拿主意	2000	缺（合成 231）
听你的	ting ni de	chat	让对方决定	-	已有（词库 482，模型 497，来自短语层）
你定	ni ding	chat	让对方拍板	1096	缺（合成 1096）
你说了算	ni shuo le suan	chat	让对方拍板	911	缺（合成 911）
算了吧	suan le ba	chat	放弃某件事	-	已有（词库 2612，模型 2644，来自短语层）
那行	na xing	chat	顺着对方同意	2000	缺（合成 638）
那好吧	na hao ba	chat	勉强同意	-	已有（词库 251，模型 239，来自短语层）
就这样吧	jiu zhe yang ba	chat	结束讨论	2000	缺（合成 110）
就这样	jiu zhe yang	chat	结束讨论	-	已有（词库 10564，模型 12115，来自短语层）
再说吧	zai shuo ba	chat	先不定	-	已有（词库 2646，模型 2667，来自短语层）
回头说	hui tou shuo	chat	改到以后再谈	2000	缺（合成 47）
回头聊	hui tou liao	chat	改到以后再谈	200	缺（合成 32）
回聊	hui liao	chat	暂时结束聊天	200	缺（合成 134）
改天聊	gai tian liao	chat	约以后再谈	200	缺（合成 42）
改天吧	gai tian ba	chat	婉拒或改期	200	缺（合成 133）
下次聊	xia ci liao	chat	暂时结束聊天	200	缺（合成 38）
先这样	xian zhe yang	chat	结束这轮对话	2000	缺（合成 93）
我走了	wo zou le	chat	告知自己要离开	2000	缺（合成 1035）
我先撤了	wo xian che le	chat	提前离开	200	缺（成分拆不出，无合成次数）
先撤了	xian che le	chat	提前离开	200	缺（合成 11）
没问题	mei wen ti	chat	爽快答应	-	已有（词库 15566，模型 15922）
可以的	ke yi de	chat	表示同意	-	已有（词库 25779，模型 26144，来自短语层）
应该的	ying gai de	chat	回应别人道谢	-	已有（词库 2626，模型 2730，来自短语层）
谢啦	xie la	chat	轻松地道谢	-	已有（词库 5069，模型 5069）
没关系	mei guan xi	chat	回应别人道歉	-	已有（词库 14807，模型 15319）
没关系的	mei guan xi de	chat	安慰对方	1336	缺（合成 1336）
嗯呢	en ne	chat	轻声应答	200	缺（成分拆不出，无合成次数）
嗯嗯	en en	chat	表示在听	2000	缺（成分拆不出，无合成次数）
哦哦	o o	chat	表示知道了	26324	缺（合成 26324）
那必须的	na bi xu de	chat	爽快肯定	-	已有（词库 2533，模型 1540，来自短语层）
安排上了	an pai shang le	chat	表示已安排好	200	缺（合成 6）
搞定	gao ding	chat	事情办完了	-	已有（词库 3573，模型 3679）
搞定了	gao ding le	chat	事情办完了	2000	缺（合成 895）
忙完了	mang wan le	chat	手头事做完	2000	缺（合成 788）
忙着呢	mang zhe ne	chat	表示正在忙	2000	缺（合成 187）
在忙	zai mang	chat	表示正在忙	2227	缺（合成 2227）
在忙呢	zai mang ne	chat	表示正在忙	2000	缺（合成 17）
刚下班	gang xia ban	chat	汇报刚离开公司	2000	缺（合成 1012）
快到了	kuai dao le	chat	告知马上到	2000	缺（合成 520）
到了吗	dao le ma	chat	问对方到没到	2000	缺（合成 1897）
我到了	wo dao le	chat	告知已到达	2000	缺（合成 711）
在路上	zai lu shang	chat	告知正在赶来	-	已有（词库 6958，模型 8177，来自短语层）
还没睡	hai mei shui	chat	深夜还醒着	-	已有（词库 2814，模型 2760，来自短语层）
刚起	gang qi	chat	刚刚起床	584	缺（合成 584）
刚起床	gang qi chuang	chat	刚刚起床	1009	缺（合成 1009）
没睡醒	mei shui xing	chat	早上迷糊	2000	缺（合成 1148）
睡过头了	shui guo tou le	chat	起晚了	269	缺（合成 269）
饿了	e le	chat	想吃东西	-	已有（词库 21458，模型 21650，来自短语层）
好饿	hao e	chat	很想吃东西	-	已有（词库 6345，模型 6374，来自短语层）
饿死了	e si le	chat	非常饿	-	已有（词库 2402，模型 2439，来自短语层）
困了	kun le	chat	想睡觉	-	已有（词库 4543，模型 4563，来自短语层）
好困	hao kun	chat	很想睡	-	已有（词库 3604，模型 3605，来自短语层）
困死了	kun si le	chat	非常困	2000	缺（合成 1494）
累了	lei le	chat	体力或精神耗尽	-	已有（词库 13110，模型 13214，来自短语层）
好累	hao lei	chat	很疲惫	-	已有（词库 10195，模型 10218，来自短语层）
累死了	lei si le	chat	非常累	-	已有（词库 3389，模型 3393，来自短语层）
忙死了	mang si le	chat	忙得不可开交	2000	缺（合成 684）
急死了	ji si le	chat	非常着急	200	缺（合成 29）
我麻了	wo ma le	chat	无语到麻木	200	缺（合成 7）
吃了吗	chi le ma	chat	问对方吃饭没	2000	缺（合成 993）
吃过了	chi guo le	chat	回答已经吃了	2000	缺（合成 1301）
还没吃	hai mei chi	chat	回答还没吃饭	-	已有（词库 2680，模型 2635，来自短语层）
吃饭了吗	chi fan le ma	chat	问候对方	2000	缺（合成 105）
下班了	xia ban le	chat	告知已下班	-	已有（词库 3038，模型 3042，来自短语层）
上班了	shang ban le	chat	告知开始工作	-	已有（词库 10152，模型 10167，来自短语层）
又加班	you jia ban	chat	抱怨再次加班	275	缺（合成 275）
加班中	jia ban zhong	chat	告知正在加班	200	缺（合成 130）
早点睡	zao dian shui	chat	劝对方早休息	-	已有（词库 11412，模型 11413，来自短语层）
早点休息	zao dian xiu xi	chat	劝对方早休息	-	已有（词库 9343，模型 9345，来自短语层）
注意身体	zhu yi shen ti	chat	关心对方健康	-	已有（词库 11115，模型 11128，来自短语层）
多喝热水	duo he re shui	chat	关心对方	-	已有（词库 2277，模型 2278，来自短语层）
多喝水	duo he shui	chat	提醒对方补水	-	已有（词库 4805，模型 4867）
保重	bao zhong	chat	告别时的关心	-	已有（词库 7278，模型 7438）
路上小心	lu shang xiao xin	chat	送别时叮嘱	2000	缺（合成 1067）
注意安全	zhu yi an quan	chat	出门时叮嘱	-	已有（词库 11619，模型 11694，来自短语层）
到家了	dao jia le	chat	报平安	-	已有（词库 5614，模型 5627，来自短语层）
到家说一声	dao jia shuo yi sheng	chat	让对方报平安	200	缺（成分拆不出，无合成次数）
我先睡了	wo xian shui le	chat	结束夜聊	2000	缺（成分拆不出，无合成次数）
睡了睡了	shui le shui le	chat	要去睡觉	200	缺（成分拆不出，无合成次数）
起不来	qi bu lai	chat	早上赖床	-	已有（词库 33，模型 30，来自短语层）
起不来床	qi bu lai chuang	chat	早上赖床	200	缺（成分拆不出，无合成次数）
不想动	bu xiang dong	chat	懒得行动	200	缺（合成 125）
不想上班	bu xiang shang ban	chat	抱怨工作	2000	缺（合成 142）
撑不住了	cheng bu zhu le	chat	快要顶不住	200	缺（成分拆不出，无合成次数）
受不了	shou bu liao	chat	忍不下去	-	已有（词库 12519，模型 13179）
受不了了	shou bu liao le	chat	忍不下去	-	已有（词库 2508，模型 2531，来自短语层）
emo了	e m o le	mixed	情绪低落	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
我emo了	wo e m o le	mixed	情绪低落	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
有空吗	you kong ma	chat	约人前先问	2000	缺（合成 499）
有时间吗	you shi jian ma	chat	约人前先问	2000	缺（合成 34）
在吗	zai ma	chat	开场问对方在不在	3717	缺（合成 3717）
在不在	zai bu zai	chat	催对方回消息	200	缺（合成 121）
忙不忙	mang bu mang	chat	问对方方不方便	2000	缺（成分拆不出，无合成次数）
方便吗	fang bian ma	chat	问对方是否得空	2000	缺（合成 355）
方便说话吗	fang bian shuo hua ma	chat	打电话前先问	200	缺（成分拆不出，无合成次数）
现在方便吗	xian zai fang bian ma	chat	打扰前先问	200	缺（成分拆不出，无合成次数）
几点	ji dian	chat	问时间	-	已有（词库 13248，模型 13854）
几点到	ji dian dao	chat	问对方几点到	861	缺（合成 861）
几点了	ji dian le	chat	问现在时间	2000	缺（合成 1081）
几点见	ji dian jian	chat	约见面时间	200	缺（合成 28）
什么时候	shen me shi hou	chat	问时间点	-	已有（词库 68924，模型 69455，来自短语层）
啥时候	sha shi hou	chat	口语问时间点	-	已有（词库 36511，模型 36515，来自短语层）
什么时候来	shen me shi hou lai	chat	问对方何时到	1209	缺（合成 1209）
在哪儿	zai na er	chat	问对方位置	-	已有（词库 8144，模型 8204，来自短语层）
在哪	zai na	chat	问对方位置	-	已有（词库 37569，模型 37993）
到哪了	dao na le	chat	催问对方位置	2000	缺（合成 68）
到哪儿了	dao na er le	chat	催问对方位置	200	缺（合成 73）
怎么走	zen me zou	chat	问路线	1198	缺（合成 1198）
怎么去	zen me qu	chat	问交通方式	-	已有（词库 3221，模型 3270，来自短语层）
约个时间	yue ge shi jian	chat	商量见面时间	200	缺（合成 4）
定个时间	ding ge shi jian	chat	把时间敲定	200	缺（成分拆不出，无合成次数）
约吗	yue ma	chat	问对方要不要一起	-	已有（词库 2394，模型 2398，来自短语层）
要不要	yao bu yao	chat	征求意愿	-	已有（词库 34952，模型 35374，来自短语层）
去不去	qu bu qu	chat	问对方去不去	-	已有（词库 92，模型 79，来自短语层）
来不来	lai bu lai	chat	问对方来不来	-	已有（词库 56，模型 53，来自短语层）
行不行	xing bu xing	chat	征求同意	-	已有（词库 2329，模型 2500，来自短语层）
可以吗	ke yi ma	chat	征求同意	-	已有（词库 8237，模型 8316，来自短语层）
好不好	hao bu hao	chat	征求同意	-	已有（词库 17771，模型 17898，来自短语层）
对不对	dui bu dui	chat	求对方确认	-	已有（词库 37，模型 36，来自短语层）
是不是	shi bu shi	chat	求对方确认	-	已有（词库 135408，模型 136897）
能不能	neng bu neng	chat	提出请求	-	已有（词库 1852，模型 2051，来自短语层）
好吗	hao ma	chat	征求同意	-	已有（词库 43358，模型 43840，来自短语层）
吃什么	chi shen me	chat	商量吃饭	-	已有（词库 10051，模型 10131，来自短语层）
吃啥	chi sha	chat	口语商量吃饭	-	已有（词库 6414，模型 6419，来自短语层）
吃点什么	chi dian shen me	chat	商量点餐	200	缺（合成 81）
去哪吃	qu na chi	chat	商量吃饭地点	289	缺（合成 289）
干嘛呢	gan ma ne	chat	问对方在做什么	-	已有（词库 4130，模型 4137，来自短语层）
在干嘛	zai gan ma	chat	问对方在做什么	-	已有（词库 6150，模型 6163，来自短语层）
干啥呢	gan sha ne	chat	口语问对方在忙什么	2000	缺（合成 1021）
咋样	za yang	chat	问情况或征求意见	-	已有（词库 8194，模型 8195）
怎么样	zen me yang	chat	问情况或征求意见	-	已有（词库 36970，模型 37535）
怎么说	zen me shuo	chat	问对方的说法	-	已有（词库 8919，模型 9164，来自短语层）
还要多久	hai yao duo jiu	chat	催进度	200	缺（合成 48）
你说呢	ni shuo ne	chat	反问对方意见	-	已有（词库 909，模型 746，来自短语层）
明天有空吗	ming tian you kong ma	chat	约明天	200	缺（合成 5）
周末有空吗	zhou mo you kong ma	chat	约周末	200	缺（合成 4）
一起吗	yi qi ma	chat	问对方要不要同行	1725	缺（合成 1725）
来吗	lai ma	chat	简短邀约	-	已有（词库 2954，模型 2998，来自短语层）
我也是	wo ye shi	chat	表示相同	-	已有（词库 97317，模型 97503，来自短语层）
我也一样	wo ye yi yang	chat	表示相同	962	缺（合成 962）
确实	que shi	chat	表示认同	-	已有（词库 50388，模型 58372）
就是说	jiu shi shuo	chat	强烈认同	-	已有（词库 4078，模型 4922，来自短语层）
可不是	ke bu shi	chat	附和对方	-	已有（词库 6242，模型 6342）
说的对	shuo de dui	chat	认同对方	-	已有（词库 117，模型 75，来自短语层）
有道理	you dao li	chat	认同对方说法	-	已有（词库 12953，模型 13103，来自短语层）
我不信	wo bu xin	chat	表示怀疑	-	已有（词库 726，模型 622，来自短语层）
真的假的	zhen de jia de	chat	表示惊讶	2000	缺（成分拆不出，无合成次数）
