# 词	编码	人工权重	分类	类型	实体	来源	核对日期
图分类	tu fen lei	20	专项任务	term	图分类	glossary	2026-09-17
图卷积网络	tu juan ji wang luo	20	架构	term	图卷积网络	curated	2026-09-17
图变换器	tu bian huan qi	20	架构	term	图变换器	curated	2026-09-17
图增强检索	tu zeng qiang jian suo	20	检索	term	图增强检索	curated	2026-09-17
图形处理器	tu xing chu li qi	20	教材术语	term	图形处理器	d2l	2026-09-17
图文匹配	tu wen pi pei	20	视觉	term	图文匹配	curated	2026-09-17
图文对齐	tu wen dui qi	20	视觉	term	图文对齐	curated	2026-09-17
图文数据	tu wen shu ju	20	数据	term	图文数据	curated	2026-09-17
图文检索	tu wen jian suo	20	视觉	term	图文检索	curated	2026-09-17
图文理解	tu wen li jie	20	视觉	term	图文理解	curated	2026-09-17
图文生成	tu wen sheng cheng	20	视觉	term	图文生成	curated	2026-09-17
图检索	tu jian suo	20	检索	term	图检索	curated	2026-09-17
图模型	tu mo xing	20	算法	term	图模型	curated	2026-09-17
图注意力网络	tu zhu yi li wang luo	20	架构	term	图注意力网络	curated	2026-09-17
图生图	tu sheng tu	20	视觉	term	图生图	curated	2026-09-17
图生视频	tu sheng shi pin	20	视觉	term	图生视频	curated	2026-09-17
图神经网络	tu shen jing wang luo	20	架构	term	图神经网络	curated	2026-09-17
图索引	tu suo yin	20	检索	term	图索引	curated	2026-09-17
图编译	tu bian yi	20	推理	term	图编译	curated	2026-09-17
图谱嵌入	tu pu qian ru	20	检索	term	图谱嵌入	curated	2026-09-17
图谱推理	tu pu tui li	20	检索	term	图谱推理	curated	2026-09-17
图谱检索	tu pu jian suo	20	检索	term	图谱检索	curated	2026-09-17
图谱补全	tu pu bu quan	20	检索	term	图谱补全	curated	2026-09-17
在线偏好优化	zai xian pian hao you hua	20	训练	term	在线偏好优化	curated	2026-09-17
在线多对象跟踪	zai xian duo dui xiang gen zong	20	专项任务	term	在线多对象跟踪	glossary	2026-09-17
在线学习	zai xian xue xi	20	基础	term	在线学习	curated	2026-09-17
在线强化学习	zai xian qiang hua xue xi	20	强化	term	在线强化学习	curated	2026-09-17
在线推理	zai xian tui li	20	推理	term	在线推理	curated	2026-09-17
在线蒸馏	zai xian zheng liu	20	训练	term	在线蒸馏	curated	2026-09-17
在线评测	zai xian ping ce	20	评估	term	在线评测	curated	2026-09-17
场感知因子分解机	chang gan zhi yin zi fen jie ji	20	算法	term	场感知因子分解机	curated	2026-09-17
场景分割	chang jing fen ge	20	视觉	term	场景分割	curated	2026-09-17
场景分析	chang jing fen xi	20	专项任务	term	场景分析	glossary	2026-09-17
场景图	chang jing tu	20	视觉	term	场景图	curated	2026-09-17
场景文本检测	chang jing wen ben jian ce	20	专项任务	term	场景文本检测	glossary	2026-09-17
场景理解	chang jing li jie	20	视觉	term	场景理解	curated	2026-09-17
场景生成	chang jing sheng cheng	20	视觉	term	场景生成	curated	2026-09-17
场景编辑	chang jing bian ji	20	视觉	term	场景编辑	curated	2026-09-17
场景识别	chang jing shi bie	20	专项任务	term	场景识别	glossary	2026-09-17
场景重建	chang jing chong jian	20	视觉	term	场景重建	curated	2026-09-17
均值漂移	jun zhi piao yi	20	算法	term	均值漂移	curated	2026-09-17
均匀分布	jun yun fen bu	20	数学	term	均匀分布	curated	2026-09-17
均匀初始化	jun yun chu shi hua	20	架构	term	均匀初始化	curated	2026-09-17
域泛化	yu fan hua	20	基础	term	域泛化	curated	2026-09-17
域适应	yu shi ying	20	基础	term	域适应	curated	2026-09-17
域随机化	yu sui ji hua	20	强化	term	域随机化	curated	2026-09-17
基于方面的情感分析	ji yu fang mian de qing gan fen xi	20	专项任务	term	基于方面的情感分析	glossary	2026-09-17
基于模型的强化学习	ji yu mo xing de qiang hua xue xi	20	强化	term	基于模型的强化学习	curated	2026-09-17
基于稀疏表示的分类	ji yu xi shu biao shi de fen lei	20	专项任务	term	基于稀疏表示的分类	glossary	2026-09-17
基于草图的图像检索	ji yu cao tu de tu xiang jian suo	20	专项任务	term	基于草图的图像检索	glossary	2026-09-17
基准测试	ji zhun ce shi	20	评估	term	基准测试	curated	2026-09-17
基准评测	ji zhun ping ce	20	评估	term	基准评测	curated	2026-09-17
基因相互作用预测	ji yin xiang hu zuo yong yu ce	20	专项任务	term	基因相互作用预测	glossary	2026-09-17
基础模型	ji chu mo xing	20	架构	term	基础模型	curated	2026-09-17
堆叠集成	dui die ji cheng	20	算法	term	堆叠集成	curated	2026-09-17
填充词元	tian chong ci yuan	20	数据	term	填充词元	curated	2026-09-17
增量学习	zeng liang xue xi	20	基础	term	增量学习	curated	2026-09-17
增量索引	zeng liang suo yin	20	检索	term	增量索引	curated	2026-09-17
增量输出	zeng liang shu chu	20	提示	term	增量输出	curated	2026-09-17
增量预训练	zeng liang yu xun lian	20	训练	term	增量预训练	curated	2026-09-17
增长率	zeng zhang lv	20	教材术语	term	增长率	d2l	2026-09-17
声学单元发现	sheng xue dan yuan fa xian	20	专项任务	term	声学单元发现	glossary	2026-09-17
声学新颖性检测	sheng xue xin ying xing jian ce	20	专项任务	term	声学新颖性检测	glossary	2026-09-17
声学模型	sheng xue mo xing	20	语音	term	声学模型	curated	2026-09-17
声学特征	sheng xue te zheng	20	语音	term	声学特征	curated	2026-09-17
声源定位	sheng yuan ding wei	20	语音	term	声源定位	curated	2026-09-17
声码器	sheng ma qi	20	语音	term	声码器	curated	2026-09-17
声纹识别	sheng wen shi bie	20	语音	term	声纹识别	curated	2026-09-17
声音事件检测	sheng yin shi jian jian ce	20	语音	term	声音事件检测	curated	2026-09-17
声音克隆	sheng yin ke long	20	语音	term	声音克隆	curated	2026-09-17
声音转换	sheng yin zhuan huan	20	语音	term	声音转换	curated	2026-09-17
处理器核心	chu li qi he xin	20	教材术语	term	处理器核心	d2l	2026-09-17
复杂推理	fu za tui li	20	提示	term	复杂推理	curated	2026-09-17
外推法	wai tui fa	20	教材术语	term	外推法	d2l	2026-09-17
外部工具	wai bu gong ju	20	智能体	term	外部工具	curated	2026-09-17
多人姿态估计	duo ren zi tai gu ji	20	专项任务	term	多人姿态估计	glossary	2026-09-17
多人解析	duo ren jie xi	20	专项任务	term	多人解析	glossary	2026-09-17
多任务学习	duo ren wu xue xi	20	基础	term	多任务学习	curated	2026-09-17
多任务损失	duo ren wu sun shi	20	训练	term	多任务损失	curated	2026-09-17
多元函数	duo yuan han shu	20	教材术语	term	多元函数	d2l	2026-09-17
多卡训练	duo ka xun lian	20	训练	term	多卡训练	curated	2026-09-17
多头注意力	duo tou zhu yi li	20	架构	term	多头注意力	curated	2026-09-17
多头潜在注意力	duo tou qian zai zhu yi li	20	架构	term	多头潜在注意力	curated	2026-09-17
多头自注意力	duo tou zi zhu yi li	20	教材术语	term	多头自注意力	d2l	2026-09-17
多层感知机	duo ceng gan zhi ji	20	架构	term	多层感知机	curated	2026-09-17
多智能体	duo zhi neng ti	20	智能体	term	多智能体	curated	2026-09-17
多智能体协作	duo zhi neng ti xie zuo	20	智能体	term	多智能体协作	curated	2026-09-17
多智能体强化学习	duo zhi neng ti qiang hua xue xi	20	专项任务	term	多智能体强化学习	glossary	2026-09-17
多智能体系统	duo zhi neng ti xi tong	20	智能体	term	多智能体系统	curated	2026-09-17
多智能体编排	duo zhi neng ti bian pai	20	智能体	term	多智能体编排	curated	2026-09-17
多智能体通信	duo zhi neng ti tong xin	20	智能体	term	多智能体通信	curated	2026-09-17
多机训练	duo ji xun lian	20	训练	term	多机训练	curated	2026-09-17
多查询检索	duo cha xun jian suo	20	检索	term	多查询检索	curated	2026-09-17
多查询注意力	duo cha xun zhu yi li	20	架构	term	多查询注意力	curated	2026-09-17
多标签分类	duo biao qian fen lei	20	教材术语	term	多标签分类	d2l	2026-09-17
多标签学习	duo biao qian xue xi	20	基础	term	多标签学习	curated	2026-09-17
多样性惩罚	duo yang xing cheng fa	20	提示	term	多样性惩罚	curated	2026-09-17
多样性束搜索	duo yang xing shu sou suo	20	提示	term	多样性束搜索	curated	2026-09-17
多模型路由	duo mo xing lu you	20	工程	term	多模型路由	curated	2026-09-17
多模态学习	duo mo tai xue xi	20	基础	term	多模态学习	curated	2026-09-17
多模态情感识别	duo mo tai qing gan shi bie	20	专项任务	term	多模态情感识别	glossary	2026-09-17
多模态情绪分析	duo mo tai qing xu fen xi	20	专项任务	term	多模态情绪分析	glossary	2026-09-17
多模态智能体	duo mo tai zhi neng ti	20	智能体	term	多模态智能体	curated	2026-09-17
多模态检索	duo mo tai jian suo	20	检索	term	多模态检索	curated	2026-09-17
多模态模型	duo mo tai mo xing	20	架构	term	多模态模型	curated	2026-09-17
多模态活动识别	duo mo tai huo dong shi bie	20	专项任务	term	多模态活动识别	glossary	2026-09-17
多模态消息	duo mo tai xiao xi	20	工程	term	多模态消息	curated	2026-09-17
多模态睡眠阶段检测	duo mo tai shui mian jie duan jian ce	20	专项任务	term	多模态睡眠阶段检测	glossary	2026-09-17
多模态融合	duo mo tai rong he	20	视觉	term	多模态融合	curated	2026-09-17
多模态评测	duo mo tai ping ce	20	评估	term	多模态评测	curated	2026-09-17
多模态隐喻识别	duo mo tai yin yu shi bie	20	专项任务	term	多模态隐喻识别	glossary	2026-09-17
多目标优化	duo mu biao you hua	20	数学	term	多目标优化	curated	2026-09-17
多目标回归	duo mu biao hui gui	20	专项任务	term	多目标回归	glossary	2026-09-17
多目标跟踪	duo mu biao gen zong	20	视觉	term	多目标跟踪	curated	2026-09-17
多示例学习	duo shi li xue xi	20	基础	term	多示例学习	curated	2026-09-17
多租户推理	duo zu hu tui li	20	推理	term	多租户推理	curated	2026-09-17
多维尺度分析	duo wei chi du fen xi	20	算法	term	多维尺度分析	curated	2026-09-17
多臂赌博机	duo bi du bo ji	20	算法	term	多臂赌博机	curated	2026-09-17
多视图子空间聚类	duo shi tu zi kong jian ju lei	20	专项任务	term	多视图子空间聚类	glossary	2026-09-17
多视图学习	duo shi tu xue xi	20	基础	term	多视图学习	curated	2026-09-17
多语言合成	duo yu yan he cheng	20	语音	term	多语言合成	curated	2026-09-17
多语言评测	duo yu yan ping ce	20	评估	term	多语言评测	curated	2026-09-17
多语言语料	duo yu yan yu liao	20	数据	term	多语言语料	curated	2026-09-17
多说话人合成	duo shuo hua ren he cheng	20	语音	term	多说话人合成	curated	2026-09-17
多路召回	duo lu zhao hui	20	检索	term	多路召回	curated	2026-09-17
多跳检索	duo tiao jian suo	20	检索	term	多跳检索	curated	2026-09-17
多跳问答	duo tiao wen da	20	提示	term	多跳问答	curated	2026-09-17
多轮对话	duo lun dui hua	20	提示	term	多轮对话	curated	2026-09-17
多轮推理	duo lun tui li	20	提示	term	多轮推理	curated	2026-09-17
多重集	duo chong ji	20	教材术语	term	多重集	d2l	2026-09-17
多项分布	duo xiang fen bu	20	数学	term	多项分布	curated	2026-09-17
多项分类	duo xiang fen lei	20	教材术语	term	多项分类	d2l	2026-09-17
多项式回归	duo xiang shi hui gui	20	算法	term	多项式回归	curated	2026-09-17
多项式朴素贝叶斯	duo xiang shi pu su bei ye si	20	算法	term	多项式朴素贝叶斯	curated	2026-09-17
多项式核	duo xiang shi he	20	算法	term	多项式核	curated	2026-09-17
多项式衰减	duo xiang shi shuai jian	20	教材术语	term	多项式衰减	d2l	2026-09-17
大型语言模型	da xing yu yan mo xing	20	架构	term	大型语言模型	curated	2026-09-17
大数定律	da shu ding lv	20	数学	term	大数定律	curated	2026-09-17
大模型工程	da mo xing gong cheng	20	工程	term	大模型工程	curated	2026-09-17
大语言模型	da yu yan mo xing	20	架构	term	大语言模型	curated	2026-09-17
头部姿态估计	tou bu zi tai gu ji	20	专项任务	term	头部姿态估计	glossary	2026-09-17
奇异值	qi yi zhi	20	数学	term	奇异值	curated	2026-09-17
奇异值分解	qi yi zhi fen jie	20	数学	term	奇异值分解	curated	2026-09-17
奇异矩阵	qi yi ju zhen	20	数学	term	奇异矩阵	curated	2026-09-17
奖励信号	jiang li xin hao	20	强化	term	奖励信号	curated	2026-09-17
奖励函数	jiang li han shu	20	强化	term	奖励函数	curated	2026-09-17
奖励分解	jiang li fen jie	20	强化	term	奖励分解	curated	2026-09-17
奖励劫持	jiang li jie chi	20	强化	term	奖励劫持	curated	2026-09-17
奖励塑形	jiang li su xing	20	强化	term	奖励塑形	curated	2026-09-17
奖励对齐	jiang li dui qi	20	安全	term	奖励对齐	curated	2026-09-17
奖励建模	jiang li jian mo	20	训练	term	奖励建模	curated	2026-09-17
奖励归一化	jiang li gui yi hua	20	强化	term	奖励归一化	curated	2026-09-17
奖励模型	jiang li mo xing	20	训练	term	奖励模型	curated	2026-09-17
奖励稀疏	jiang li xi shu	20	强化	term	奖励稀疏	curated	2026-09-17
奖励裁剪	jiang li cai jian	20	强化	term	奖励裁剪	curated	2026-09-17
奖励过拟合	jiang li guo ni he	20	强化	term	奖励过拟合	curated	2026-09-17
奖励黑客	jiang li hei ke	20	强化	term	奖励黑客	curated	2026-09-17
套索回归	tao suo hui gui	20	算法	term	套索回归	curated	2026-09-17
好奇心驱动	hao qi xin qu dong	20	强化	term	好奇心驱动	curated	2026-09-17
姿态估计	zi tai gu ji	20	视觉	term	姿态估计	curated	2026-09-17
姿态检测	zi tai jian ce	20	专项任务	term	姿态检测	glossary	2026-09-17
威胁建模	wei xie jian mo	20	安全	term	威胁建模	curated	2026-09-17
子任务	zi ren wu	20	智能体	term	子任务	curated	2026-09-17
子智能体	zi zhi neng ti	20	智能体	term	子智能体	curated	2026-09-17
子空间聚类	zi kong jian ju lei	20	专项任务	term	子空间聚类	glossary	2026-09-17
子空间表示	zi kong jian biao shi	20	教材术语	term	子空间表示	d2l	2026-09-17
子词分词	zi ci fen ci	20	数据	term	子词分词	curated	2026-09-17
字对齐	zi dui qi	20	专项任务	term	字对齐	glossary	2026-09-17
字幕对齐	zi mu dui qi	20	语音	term	字幕对齐	curated	2026-09-17
字幕生成	zi mu sheng cheng	20	语音	term	字幕生成	curated	2026-09-17
字幕翻译	zi mu fan yi	20	语音	term	字幕翻译	curated	2026-09-17
字符串转换	zi fu chuan zhuan huan	20	专项任务	term	字符串转换	glossary	2026-09-17
字符级分词	zi fu ji fen ci	20	数据	term	字符级分词	curated	2026-09-17
字符级语言模型	zi fu ji yu yan mo xing	20	教材术语	term	字符级语言模型	d2l	2026-09-17
字符错误率	zi fu cuo wu lv	20	评估	term	字符错误率	curated	2026-09-17
字素	zi su	20	语音	term	字素	curated	2026-09-17
字节对编码	zi jie dui bian ma	20	教材术语	term	字节对编码	d2l	2026-09-17
字节级分词	zi jie ji fen ci	20	数据	term	字节级分词	curated	2026-09-17
字错误率	zi cuo wu lv	20	评估	term	字错误率	curated	2026-09-17
存在惩罚	cun zai cheng fa	20	提示	term	存在惩罚	curated	2026-09-17
季节性	ji jie xing	20	教材术语	term	季节性	d2l	2026-09-17
孤立森林	gu li sen lin	20	算法	term	孤立森林	curated	2026-09-17
学习效率	xue xi xiao lv	20	基础	term	学习效率	curated	2026-09-17
学习率	xue xi lv	20	训练	term	学习率	curated	2026-09-17
学习率衰减	xue xi lv shuai jian	20	训练	term	学习率衰减	curated	2026-09-17
学习率调度	xue xi lv diao du	20	训练	term	学习率调度	curated	2026-09-17
学习率调度器	xue xi lv diao du qi	20	教材术语	term	学习率调度器	d2l	2026-09-17
学习率预热	xue xi lv yu re	20	训练	term	学习率预热	curated	2026-09-17
学习策略	xue xi ce lve	20	基础	term	学习策略	curated	2026-09-17
学习算法	xue xi suan fa	20	教材术语	term	学习算法	d2l	2026-09-17
学习范式	xue xi fan shi	20	基础	term	学习范式	curated	2026-09-17
学生模型	xue sheng mo xing	20	训练	term	学生模型	curated	2026-09-17
安全分类器	an quan fen lei qi	20	安全	term	安全分类器	curated	2026-09-17
安全多方计算	an quan duo fang ji suan	20	安全	term	安全多方计算	curated	2026-09-17
安全对齐	an quan dui qi	20	安全	term	安全对齐	curated	2026-09-17
安全强化学习	an quan qiang hua xue xi	20	强化	term	安全强化学习	curated	2026-09-17
安全护栏	an quan hu lan	20	安全	term	安全护栏	curated	2026-09-17
安全拒答	an quan ju da	20	提示	term	安全拒答	curated	2026-09-17
安全策略	an quan ce lve	20	安全	term	安全策略	curated	2026-09-17
安全评测	an quan ping ce	20	评估	term	安全评测	curated	2026-09-17
安全边界	an quan bian jie	20	安全	term	安全边界	curated	2026-09-17
安全过滤	an quan guo lv	20	数据	term	安全过滤	curated	2026-09-17
安全退化	an quan tui hua	20	安全	term	安全退化	curated	2026-09-17
完全卷积网络	wan quan juan ji wang luo	20	教材术语	term	完全卷积网络	d2l	2026-09-17
完成原因	wan cheng yuan yin	20	提示	term	完成原因	curated	2026-09-17
完整性	wan zheng xing	20	评估	term	完整性	curated	2026-09-17
宏平均	hong ping jun	20	评估	term	宏平均	curated	2026-09-17
实体对齐	shi ti dui qi	20	检索	term	实体对齐	curated	2026-09-17
实体抽取	shi ti chou qu	20	检索	term	实体抽取	curated	2026-09-17
实体消歧	shi ti xiao qi	20	检索	term	实体消歧	curated	2026-09-17
实体类型	shi ti lei xing	20	专项任务	term	实体类型	glossary	2026-09-17
实体解析	shi ti jie xi	20	专项任务	term	实体解析	glossary	2026-09-17
实体链接	shi ti lian jie	20	检索	term	实体链接	curated	2026-09-17
实例分割	shi li fen ge	20	视觉	term	实例分割	curated	2026-09-17
实时实例分割	shi shi shi li fen ge	20	专项任务	term	实时实例分割	glossary	2026-09-17
实时推理	shi shi tui li	20	推理	term	实时推理	curated	2026-09-17
实时语音对话	shi shi yu yin dui hua	20	语音	term	实时语音对话	curated	2026-09-17
实验复现	shi yan fu xian	20	训练	term	实验复现	curated	2026-09-17
实验对比	shi yan dui bi	20	工程	term	实验对比	curated	2026-09-17
实验看板	shi yan kan ban	20	工程	term	实验看板	curated	2026-09-17
实验管理	shi yan guan li	20	工程	term	实验管理	curated	2026-09-17
实验记录	shi yan ji lu	20	工程	term	实验记录	curated	2026-09-17
实验追踪	shi yan zhui zong	20	工程	term	实验追踪	curated	2026-09-17
实验配置	shi yan pei zhi	20	工程	term	实验配置	curated	2026-09-17
审计日志	shen ji ri zhi	20	安全	term	审计日志	curated	2026-09-17
室外光源估计	shi wai guang yuan gu ji	20	专项任务	term	室外光源估计	glossary	2026-09-17
容器化部署	rong qi hua bu shu	20	推理	term	容器化部署	curated	2026-09-17
容错机制	rong cuo ji zhi	20	工程	term	容错机制	curated	2026-09-17
宽高比	kuan gao bi	20	教材术语	term	宽高比	d2l	2026-09-17
密度聚类	mi du ju lei	20	算法	term	密度聚类	curated	2026-09-17
密钥管理	mi yao guan li	20	工程	term	密钥管理	curated	2026-09-17
密集网络	mi ji wang luo	20	架构	term	密集网络	curated	2026-09-17
密集连接	mi ji lian jie	20	架构	term	密集连接	curated	2026-09-17
对偶问题	dui ou wen ti	20	数学	term	对偶问题	curated	2026-09-17
对抗判别器	dui kang pan bie qi	20	架构	term	对抗判别器	curated	2026-09-17
对抗学习	dui kang xue xi	20	基础	term	对抗学习	curated	2026-09-17
对抗扰动	dui kang rao dong	20	安全	term	对抗扰动	curated	2026-09-17
对抗攻击	dui kang gong ji	20	安全	term	对抗攻击	curated	2026-09-17
对抗样本	dui kang yang ben	20	安全	term	对抗样本	curated	2026-09-17
对抗生成器	dui kang sheng cheng qi	20	架构	term	对抗生成器	curated	2026-09-17
对抗训练	dui kang xun lian	20	训练	term	对抗训练	curated	2026-09-17
对抗评测	dui kang ping ce	20	评估	term	对抗评测	curated	2026-09-17
对抗防御	dui kang fang yu	20	安全	term	对抗防御	curated	2026-09-17
对抗鲁棒性	dui kang lu bang xing	20	安全	term	对抗鲁棒性	curated	2026-09-17
对数似然	dui shu si ran	20	数学	term	对数似然	curated	2026-09-17
对数几率回归	dui shu ji lv hui gui	20	教材术语	term	对数几率回归	d2l	2026-09-17
对数概率	dui shu gai lv	20	提示	term	对数概率	curated	2026-09-17
对比学习	dui bi xue xi	20	基础	term	对比学习	curated	2026-09-17
对比损失	dui bi sun shi	20	训练	term	对比损失	curated	2026-09-17
对比提示	dui bi ti shi	20	提示	term	对比提示	curated	2026-09-17
对比解码	dui bi jie ma	20	提示	term	对比解码	curated	2026-09-17
对称量化	dui chen liang hua	20	推理	term	对称量化	curated	2026-09-17
对角矩阵	dui jiao ju zhen	20	数学	term	对角矩阵	curated	2026-09-17
对话上下文	dui hua shang xia wen	20	提示	term	对话上下文	curated	2026-09-17
对话中的情感识别	dui hua zhong de qing gan shi bie	20	专项任务	term	对话中的情感识别	glossary	2026-09-17
对话历史	dui hua li shi	20	提示	term	对话历史	curated	2026-09-17
对话压缩	dui hua ya suo	20	提示	term	对话压缩	curated	2026-09-17
对话响应选择	dui hua xiang ying xuan ze	20	专项任务	term	对话响应选择	glossary	2026-09-17
对话摘要	dui hua zhai yao	20	提示	term	对话摘要	curated	2026-09-17
对话数据	dui hua shu ju	20	数据	term	对话数据	curated	2026-09-17
对话智能体	dui hua zhi neng ti	20	智能体	term	对话智能体	curated	2026-09-17
对话模型	dui hua mo xing	20	架构	term	对话模型	curated	2026-09-17
对话状态	dui hua zhuang tai	20	提示	term	对话状态	curated	2026-09-17
对话状态跟踪	dui hua zhuang tai gen zong	20	专项任务	term	对话状态跟踪	glossary	2026-09-17
对话生成	dui hua sheng cheng	20	专项任务	term	对话生成	glossary	2026-09-17
对话策略	dui hua ce lve	20	提示	term	对话策略	curated	2026-09-17
对话管理	dui hua guan li	20	提示	term	对话管理	curated	2026-09-17
对话语料	dui hua yu liao	20	数据	term	对话语料	curated	2026-09-17
对话轮次	dui hua lun ci	20	提示	term	对话轮次	curated	2026-09-17
对齐漂移	dui qi piao yi	20	安全	term	对齐漂移	curated	2026-09-17
对齐税	dui qi shui	20	安全	term	对齐税	curated	2026-09-17
对齐训练	dui qi xun lian	20	训练	term	对齐训练	curated	2026-09-17
封闭域问答	feng bi yu wen da	20	提示	term	封闭域问答	curated	2026-09-17
封闭式评测	feng bi shi ping ce	20	评估	term	封闭式评测	curated	2026-09-17
小批量	xiao pi liang	20	教材术语	term	小批量	d2l	2026-09-17
小批量梯度下降	xiao pi liang ti du xia jiang	20	训练	term	小批量梯度下降	curated	2026-09-17
小批量训练	xiao pi liang xun lian	20	训练	term	小批量训练	curated	2026-09-17
小批量随机梯度下降	xiao pi liang sui ji ti du xia jiang	20	教材术语	term	小批量随机梯度下降	d2l	2026-09-17
小样本学习	xiao yang ben xue xi	20	基础	term	小样本学习	curated	2026-09-17
小语言模型	xiao yu yan mo xing	20	架构	term	小语言模型	curated	2026-09-17
少样本学习	shao yang ben xue xi	20	基础	term	少样本学习	curated	2026-09-17
少样本提示	shao yang ben ti shi	20	提示	term	少样本提示	curated	2026-09-17
少样本语音合成	shao yang ben yu yin he cheng	20	语音	term	少样本语音合成	curated	2026-09-17
尾部延迟	wei bu yan chi	20	推理	term	尾部延迟	curated	2026-09-17
局部优化	ju bu you hua	20	数学	term	局部优化	curated	2026-09-17
局部性	ju bu xing	20	教材术语	term	局部性	d2l	2026-09-17
局部检索	ju bu jian suo	20	检索	term	局部检索	curated	2026-09-17
局部注意力	ju bu zhu yi li	20	架构	term	局部注意力	curated	2026-09-17
局部离群因子	ju bu li qun yin zi	20	算法	term	局部离群因子	curated	2026-09-17
局部线性嵌入	ju bu xian xing qian ru	20	算法	term	局部线性嵌入	curated	2026-09-17
层次分块	ceng ci fen kuai	20	检索	term	层次分块	curated	2026-09-17
层次分类	ceng ci fen lei	20	教材术语	term	层次分类	d2l	2026-09-17
层次聚类	ceng ci ju lei	20	算法	term	层次聚类	curated	2026-09-17
层级变换器	ceng ji bian huan qi	20	架构	term	层级变换器	curated	2026-09-17
层规范化	ceng gui fan hua	20	教材术语	term	层规范化	d2l	2026-09-17
屏障操作	ping zhang cao zuo	20	教材术语	term	屏障操作	d2l	2026-09-17
岭回归	ling hui gui	20	算法	term	岭回归	curated	2026-09-17
嵌入层	qian ru ceng	20	教材术语	term	嵌入层	d2l	2026-09-17
嵌入模型	qian ru mo xing	20	架构	term	嵌入模型	curated	2026-09-17
嵌入空间	qian ru kong jian	20	检索	term	嵌入空间	curated	2026-09-17
嵌入维度	qian ru wei du	20	检索	term	嵌入维度	curated	2026-09-17
工作流	gong zuo liu	20	智能体	term	工作流	curated	2026-09-17
工作记忆	gong zuo ji yi	20	智能体	term	工作记忆	curated	2026-09-17
工具劫持	gong ju jie chi	20	安全	term	工具劫持	curated	2026-09-17
工具协议	gong ju xie yi	20	智能体	term	工具协议	curated	2026-09-17
工具参数	gong ju can shu	20	智能体	term	工具参数	curated	2026-09-17
工具反馈	gong ju fan kui	20	智能体	term	工具反馈	curated	2026-09-17
工具发现	gong ju fa xian	20	智能体	term	工具发现	curated	2026-09-17
工具取消	gong ju qu xiao	20	智能体	term	工具取消	curated	2026-09-17
工具变量	gong ju bian liang	20	基础	term	工具变量	curated	2026-09-17
工具安全	gong ju an quan	20	安全	term	工具安全	curated	2026-09-17
工具审批	gong ju shen pi	20	智能体	term	工具审批	curated	2026-09-17
工具成功率	gong ju cheng gong lv	20	评估	term	工具成功率	curated	2026-09-17
工具执行	gong ju zhi xing	20	智能体	term	工具执行	curated	2026-09-17
工具护栏	gong ju hu lan	20	安全	term	工具护栏	curated	2026-09-17
工具描述	gong ju miao shu	20	智能体	term	工具描述	curated	2026-09-17
工具智能体	gong ju zhi neng ti	20	智能体	term	工具智能体	curated	2026-09-17
工具权限	gong ju quan xian	20	智能体	term	工具权限	curated	2026-09-17
工具注册	gong ju zhu ce	20	智能体	term	工具注册	curated	2026-09-17
工具约束	gong ju yue shu	20	提示	term	工具约束	curated	2026-09-17
工具结果	gong ju jie guo	20	智能体	term	工具结果	curated	2026-09-17
工具调用	gong ju diao yong	20	智能体	term	工具调用	curated	2026-09-17
工具调用评测	gong ju diao yong ping ce	20	评估	term	工具调用评测	curated	2026-09-17
工具超时	gong ju chao shi	20	智能体	term	工具超时	curated	2026-09-17
工具路由	gong ju lu you	20	智能体	term	工具路由	curated	2026-09-17
工具适配器	gong ju shi pei qi	20	智能体	term	工具适配器	curated	2026-09-17
工具选择	gong ju xuan ze	20	智能体	term	工具选择	curated	2026-09-17
工具重试	gong ju chong shi	20	智能体	term	工具重试	curated	2026-09-17
工具错误	gong ju cuo wu	20	智能体	term	工具错误	curated	2026-09-17
差分隐私	cha fen yin si	20	安全	term	差分隐私	curated	2026-09-17
布局到图像的生成	bu ju dao tu xiang de sheng cheng	20	专项任务	term	布局到图像的生成	glossary	2026-09-17
帧间一致性	zhen jian yi zhi xing	20	视觉	term	帧间一致性	curated	2026-09-17
常数参数	chang shu can shu	20	教材术语	term	常数参数	d2l	2026-09-17
常识推理	chang shi tui li	20	基础	term	常识推理	curated	2026-09-17
常识问答	chang shi wen da	20	提示	term	常识问答	curated	2026-09-17
幂等执行	mi deng zhi xing	20	智能体	term	幂等执行	curated	2026-09-17
平均倒数排名	ping jun dao shu pai ming	20	评估	term	平均倒数排名	curated	2026-09-17
平均值	ping jun zhi	20	教材术语	term	平均值	d2l	2026-09-17
平均汇聚层	ping jun hui ju ceng	20	教材术语	term	平均汇聚层	d2l	2026-09-17
平均池化	ping jun chi hua	20	架构	term	平均池化	curated	2026-09-17
平均精度	ping jun jing du	20	评估	term	平均精度	curated	2026-09-17
平均绝对误差	ping jun jue dui wu cha	20	教材术语	term	平均绝对误差	d2l	2026-09-17
平局率	ping ju lv	20	评估	term	平局率	curated	2026-09-17
平方误差	ping fang wu cha	20	教材术语	term	平方误差	d2l	2026-09-17
平移不变性	ping yi bu bian xing	20	教材术语	term	平移不变性	d2l	2026-09-17
平行语料	ping xing yu liao	20	数据	term	平行语料	curated	2026-09-17
平衡准确率	ping heng zhun que lv	20	评估	term	平衡准确率	curated	2026-09-17
